2021-04-21,15,18,23,32,38,47
2021-04-17,7,13,32,38,39,48
2021-04-14,4,6,12,23,36,47
2021-04-10,5,16,19,24,28,34
2021-04-07,23,31,34,38,39,41
2021-04-03,12,13,19,35,42,47
2021-03-31,3,7,8,12,37,40
2021-03-27,15,16,17,30,36,40
2021-03-24,3,4,27,43,45,48
2021-03-20,9,16,25,36,39,43
2021-03-17,4,9,13,25,44,49
2021-03-13,15,24,27,29,42,49
2021-03-10,30,31,35,36,43,48
2021-03-06,2,14,18,21,26,48
2021-03-03,3,11,33,34,36,43
2021-02-27,11,15,16,20,46,49
2021-02-24,11,36,37,38,39,45
2021-02-20,2,14,15,21,29,46
2021-02-17,7,16,18,43,45,48
2021-02-13,16,17,27,40,41,45
2021-02-10,4,14,22,26,45,48
2021-02-06,6,11,12,26,28,38
2021-02-03,20,21,26,30,35,41
2021-01-30,3,23,26,35,42,44
2021-01-27,12,17,23,36,44,49
2021-01-23,5,17,21,29,41,43
2021-01-20,2,5,18,23,29,47
2021-01-16,9,10,21,28,35,43
2021-01-13,20,27,28,37,38,39
2021-01-09,4,8,18,24,31,32
2021-01-06,15,23,30,31,32,42
2021-01-02,16,17,20,42,47,49
2020-12-30,7,14,30,32,38,45
2020-12-26,21,26,28,33,34,42
2020-12-23,7,15,24,31,33,34
2020-12-19,1,8,10,11,17,35
2020-12-16,10,12,20,25,31,34
2020-12-12,27,28,29,36,46,48
2020-12-09,10,11,14,19,27,39
2020-12-05,3,10,13,21,27,45
2020-12-02,22,24,28,41,47,49
2020-11-28,3,4,16,23,26,44
2020-11-25,13,14,31,33,37,46
2020-11-21,16,19,21,34,37,47
2020-11-18,7,14,21,28,30,32
2020-11-14,1,2,13,30,35,38
2020-11-11,6,14,18,23,31,47
2020-11-07,1,16,19,24,26,47
2020-11-04,2,9,13,18,40,46
2020-10-31,5,8,18,22,41,48
2020-10-28,2,3,16,25,34,46
2020-10-24,4,9,17,20,26,31
2020-10-21,26,28,32,37,40,47
2020-10-17,7,8,9,24,25,34
2020-10-14,10,18,20,38,39,44
2020-10-10,6,23,24,29,36,38
2020-10-07,4,5,12,13,18,19
2020-10-03,12,22,24,37,39,43
2020-09-30,13,16,20,21,27,48
2020-09-26,8,27,29,33,40,49
2020-09-23,11,17,28,29,36,39
2020-09-19,5,15,31,35,42,46
2020-09-16,6,12,23,29,44,46
2020-09-12,5,13,19,37,42,45
2020-09-09,3,5,9,19,29,37
2020-09-05,1,8,10,33,34,38
2020-09-02,1,5,15,23,25,31
2020-08-29,3,13,21,24,29,40
2020-08-26,6,8,20,23,35,39
2020-08-22,19,25,34,36,40,43
2020-08-19,2,17,32,37,39,42
2020-08-15,6,7,11,18,22,43
2020-08-12,16,24,27,43,48,49
2020-08-08,1,20,21,23,40,46
2020-08-05,3,14,23,30,38,43
2020-08-01,12,13,17,22,39,40
2020-07-29,1,11,17,19,22,45
2020-07-25,6,21,34,44,45,48
2020-07-22,5,14,19,42,46,47
2020-07-18,5,23,37,40,44,45
2020-07-15,5,7,17,22,43,44
2020-07-11,16,22,31,36,43,44
2020-07-08,11,26,28,35,37,47
2020-07-04,15,20,27,34,38,42
2020-07-01,1,12,27,30,34,49
2020-06-27,1,13,14,24,36,44
2020-06-24,6,16,23,39,47,48
2020-06-20,14,22,29,36,48,49
2020-06-17,5,10,18,29,32,48
2020-06-13,3,31,34,38,45,48
2020-06-10,3,13,25,33,34,45
2020-06-06,6,22,38,45,48,49
2020-06-03,2,15,20,22,29,39
